Timestamp (s), Actor Name
342.00, dataset_images\Salman_Khan\salman-khan1
342.20, dataset_images\Salman_Khan\salman-khan1
342.40, dataset_images\Salman_Khan\salman-khan1
342.60, dataset_images\Salman_Khan\salman-khan1
348.20, dataset_images\Govinda\Govinda1
390.40, dataset_images\Govinda\Govinda1
392.20, dataset_images\Govinda\Govinda1
392.40, dataset_images\Govinda\Govinda1
396.80, dataset_images\Govinda\Govinda1
407.00, dataset_images\Govinda\Govinda1
410.00, dataset_images\Salman_Khan\salman-khan1
410.20, dataset_images\Salman_Khan\salman-khan1
410.40, dataset_images\Salman_Khan\salman-khan1
410.60, dataset_images\Salman_Khan\salman-khan1
410.80, dataset_images\Salman_Khan\salman-khan1
411.00, dataset_images\Salman_Khan\salman-khan1
411.20, dataset_images\Salman_Khan\salman-khan1
411.40, dataset_images\Salman_Khan\salman-khan1
411.60, dataset_images\Salman_Khan\salman-khan1
411.80, dataset_images\Salman_Khan\salman-khan1
413.40, dataset_images\Salman_Khan\salman-khan1
413.60, dataset_images\Salman_Khan\salman-khan1
413.80, dataset_images\Salman_Khan\salman-khan1
414.00, dataset_images\Salman_Khan\salman-khan1
414.20, dataset_images\Salman_Khan\salman-khan1
432.80, dataset_images\Govinda\Govinda1
453.80, dataset_images\Govinda\Govinda1
455.20, dataset_images\Govinda\Govinda1
458.80, dataset_images\Govinda\Govinda1
467.20, dataset_images\Govinda\Govinda1
468.40, dataset_images\Govinda\Govinda1
469.40, dataset_images\Govinda\Govinda1
469.80, dataset_images\Govinda\Govinda1
471.40, dataset_images\Govinda\Govinda1
477.60, dataset_images\Govinda\Govinda1
477.80, dataset_images\Govinda\Govinda1
478.00, dataset_images\Govinda\Govinda1
478.80, dataset_images\Govinda\Govinda1
479.00, dataset_images\Govinda\Govinda1
479.20, dataset_images\Govinda\Govinda1
500.40, dataset_images\Govinda\Govinda1
500.80, dataset_images\Govinda\Govinda1
501.20, dataset_images\Govinda\Govinda1
502.00, dataset_images\Govinda\Govinda1
502.40, dataset_images\Govinda\Govinda1
