Timestamp (s), Actor Name
88.80, dataset_images\Salman_Khan\salman-khan1
89.00, dataset_images\Salman_Khan\salman-khan1
89.20, dataset_images\Govinda\Govinda1
89.40, dataset_images\Salman_Khan\salman-khan1
89.60, dataset_images\Salman_Khan\salman-khan1
89.80, dataset_images\Salman_Khan\salman-khan1
90.00, dataset_images\Salman_Khan\salman-khan1
90.20, dataset_images\Salman_Khan\salman-khan1
90.40, dataset_images\Salman_Khan\salman-khan1
90.80, dataset_images\Salman_Khan\salman-khan1
91.00, dataset_images\Salman_Khan\salman-khan1
91.20, dataset_images\Salman_Khan\salman-khan1
91.40, dataset_images\Salman_Khan\salman-khan1
91.60, dataset_images\Salman_Khan\salman-khan1
91.80, dataset_images\Salman_Khan\salman-khan1
92.00, dataset_images\katrina_kaif\Katrina_Kaif
92.20, dataset_images\katrina_kaif\Katrina_Kaif
92.40, dataset_images\katrina_kaif\Katrina_Kaif
92.60, dataset_images\Govinda\Govinda1
92.80, dataset_images\katrina_kaif\Katrina_Kaif
93.00, dataset_images\katrina_kaif\Katrina_Kaif
93.20, dataset_images\katrina_kaif\Katrina_Kaif
93.40, dataset_images\katrina_kaif\Katrina_Kaif
93.60, dataset_images\katrina_kaif\Katrina_Kaif
93.80, dataset_images\katrina_kaif\Katrina_Kaif
94.00, dataset_images\katrina_kaif\Katrina_Kaif
94.20, dataset_images\katrina_kaif\Katrina_Kaif
94.60, dataset_images\katrina_kaif\Katrina_Kaif
94.80, dataset_images\katrina_kaif\Katrina_Kaif
95.00, dataset_images\katrina_kaif\Katrina_Kaif
95.20, dataset_images\katrina_kaif\Katrina_Kaif
95.40, dataset_images\katrina_kaif\Katrina_Kaif
95.60, dataset_images\katrina_kaif\Katrina_Kaif
95.80, dataset_images\katrina_kaif\Katrina_Kaif
96.00, dataset_images\katrina_kaif\Katrina_Kaif
96.20, dataset_images\katrina_kaif\Katrina_Kaif
96.40, dataset_images\katrina_kaif\Katrina_Kaif
96.60, dataset_images\katrina_kaif\Katrina_Kaif
96.80, dataset_images\katrina_kaif\Katrina_Kaif
97.00, dataset_images\katrina_kaif\Katrina_Kaif
97.20, dataset_images\katrina_kaif\Katrina_Kaif
97.40, dataset_images\katrina_kaif\Katrina_Kaif
97.60, dataset_images\katrina_kaif\Katrina_Kaif
97.80, dataset_images\katrina_kaif\Katrina_Kaif
98.00, dataset_images\katrina_kaif\Katrina_Kaif
98.20, dataset_images\katrina_kaif\Katrina_Kaif
98.40, dataset_images\katrina_kaif\Katrina_Kaif
98.60, dataset_images\katrina_kaif\Katrina_Kaif
98.80, dataset_images\katrina_kaif\Katrina_Kaif
99.00, dataset_images\katrina_kaif\Katrina_Kaif
99.20, dataset_images\katrina_kaif\Katrina_Kaif
99.40, dataset_images\katrina_kaif\Katrina_Kaif
99.60, dataset_images\katrina_kaif\Katrina_Kaif
99.80, dataset_images\katrina_kaif\Katrina_Kaif
100.00, dataset_images\Salman_Khan\salman-khan1
100.20, dataset_images\Salman_Khan\salman-khan1
100.40, dataset_images\Salman_Khan\salman-khan1
100.60, dataset_images\Salman_Khan\salman-khan1
100.80, dataset_images\Salman_Khan\salman-khan1
101.00, dataset_images\Salman_Khan\salman-khan1
101.20, dataset_images\Salman_Khan\salman-khan1
101.40, dataset_images\Salman_Khan\salman-khan1
101.60, dataset_images\Salman_Khan\salman-khan1
101.80, dataset_images\Salman_Khan\salman-khan1
102.00, dataset_images\Salman_Khan\salman-khan1
102.20, dataset_images\Salman_Khan\salman-khan1
102.40, dataset_images\Salman_Khan\salman-khan1
102.60, dataset_images\Salman_Khan\salman-khan1
102.80, dataset_images\Salman_Khan\salman-khan1
103.00, dataset_images\Salman_Khan\salman-khan1
103.20, dataset_images\Salman_Khan\salman-khan1
103.40, dataset_images\Salman_Khan\salman-khan1
103.60, dataset_images\Salman_Khan\salman-khan1
103.80, dataset_images\Salman_Khan\salman-khan1
104.00, dataset_images\Salman_Khan\salman-khan1
